Run_Number,SQL_File,Run_Time
1,7,3.324803590774536
2,7,0.476560115814209
3,7,0.5138282775878906
4,7,0.5216665267944336
5,7,0.43886566162109375
6,7,0.5734164714813232
1,8,4.5544257164001465
2,8,0.5612072944641113
3,8,0.5306828022003174
4,8,0.5762746334075928
5,8,0.6295797824859619
6,8,0.5043230056762695
1,21,3.099079132080078
2,21,0.4506251811981201
3,21,0.5141093730926514
4,21,0.5520615577697754
5,21,0.3973715305328369
6,21,0.5248126983642578
1,4,1.1501083374023438
2,4,0.4487934112548828
3,4,0.42548632621765137
4,4,0.41985630989074707
5,4,0.453829288482666
6,4,0.39457130432128906
1,3,2.0945165157318115
2,3,0.3442249298095703
3,3,0.3888404369354248
4,3,0.40855979919433594
5,3,0.395230770111084
6,3,0.46610164642333984
1,15,2.6724796295166016
2,15,0.43268299102783203
3,15,0.3902552127838135
4,15,0.32039356231689453
5,15,0.4335453510284424
6,15,0.3948228359222412
1,16,1.0641276836395264
2,16,0.3469107151031494
3,16,0.7546911239624023
4,16,0.47768568992614746
5,16,0.40944385528564453
6,16,0.39830708503723145
1,1,2.0334787368774414
2,1,0.5643396377563477
3,1,0.5169107913970947
4,1,0.43637609481811523
5,1,0.5628311634063721
6,1,0.31546688079833984
1,6,0.809950590133667
2,6,0.437824010848999
3,6,0.29840898513793945
4,6,0.39673781394958496
5,6,0.39625120162963867
6,6,0.3527233600616455
1,13,1.4527010917663574
2,13,0.38904619216918945
3,13,0.3101067543029785
4,13,0.6247036457061768
5,13,0.40544843673706055
6,13,0.33913326263427734
1,17,2.2936387062072754
2,17,0.40811753273010254
3,17,0.35729146003723145
4,17,0.4197678565979004
5,17,0.3951845169067383
6,17,0.3369483947753906
1,2,1.4719650745391846
2,2,0.4282829761505127
3,2,0.6083059310913086
4,2,0.44661402702331543
5,2,0.3909420967102051
6,2,0.41869330406188965
1,18,3.2274973392486572
2,18,0.3550374507904053
3,18,0.6897900104522705
4,18,0.40744829177856445
5,18,0.3945486545562744
6,18,0.3687455654144287
1,11,1.0709340572357178
2,11,0.591160774230957
3,11,0.4850153923034668
4,11,0.5215351581573486
5,11,0.46918392181396484
6,11,0.4490363597869873
1,14,2.8332982063293457
2,14,0.36754822731018066
3,14,0.31484341621398926
4,14,0.38541531562805176
5,14,0.41140103340148926
6,14,0.39405202865600586
1,22,2.701883316040039
2,22,0.3494431972503662
3,22,0.3772766590118408
4,22,0.3440358638763428
5,22,0.334958553314209
6,22,0.4248166084289551
1,9,5.414236068725586
2,9,0.36789870262145996
3,9,0.3554966449737549
4,9,0.38928675651550293
5,9,0.4738657474517822
6,9,0.4714024066925049
1,20,2.9836905002593994
2,20,0.7314646244049072
3,20,0.33048510551452637
4,20,0.3943819999694824
5,20,0.5851576328277588
6,20,0.3869493007659912
1,12,1.2455072402954102
2,12,0.37697505950927734
3,12,0.44751858711242676
4,12,0.3685281276702881
5,12,0.39326024055480957
6,12,0.3134422302246094
1,5,0.4794497489929199
2,5,0.43284082412719727
3,5,0.5671648979187012
4,5,0.4666435718536377
5,5,0.4217827320098877
6,5,0.47542619705200195
1,10,2.1092400550842285
2,10,0.4982028007507324
3,10,0.3653240203857422
4,10,0.40367650985717773
5,10,0.4337794780731201
6,10,0.39458513259887695
1,19,0.7470841407775879
2,19,0.38991284370422363
3,19,0.37721800804138184
4,19,0.3349752426147461
5,19,0.40390872955322266
6,19,0.326509952545166
