Run Number,file_number,Execution Time (seconds)
1,19,0.05627751350402832
1,17,0.07203388214111328
1,3,0.06164693832397461
1,6,0.054784536361694336
1,21,0.056888580322265625
1,7,0.060483694076538086
1,12,0.15186071395874023
1,9,0.050981760025024414
1,8,0.055194854736328125
1,5,0.060597896575927734
1,2,0.07068061828613281
1,15,0.055207014083862305
1,22,0.06810641288757324
1,18,0.09131860733032227
1,11,0.06433534622192383
1,10,0.059546709060668945
1,4,0.06764101982116699
1,1,0.04910898208618164
1,14,0.05266213417053223
1,16,0.1297454833984375
1,20,0.05360245704650879
1,13,0.06580638885498047
2,19,0.0632941722869873
2,17,0.07145977020263672
2,3,0.06605792045593262
2,6,0.06936430931091309
2,21,0.06383657455444336
2,7,0.08786201477050781
2,12,0.05659794807434082
2,9,0.05879807472229004
2,8,0.06504034996032715
2,5,0.05499458312988281
2,2,0.23737263679504395
2,15,0.06217837333679199
2,22,0.05817389488220215
2,18,0.050652265548706055
2,11,0.06347203254699707
2,10,0.06028008460998535
2,4,0.07264065742492676
2,1,0.07485103607177734
2,14,0.06149005889892578
2,16,0.08498406410217285
2,20,0.09368324279785156
2,13,0.37871694564819336
3,19,0.07038426399230957
3,17,0.08385467529296875
3,3,0.05311870574951172
3,6,0.048726558685302734
3,21,0.06894779205322266
3,7,0.08159899711608887
3,12,0.05128931999206543
3,9,0.06803369522094727
3,8,0.050015926361083984
3,5,0.09383034706115723
3,2,0.06061530113220215
3,15,0.07346534729003906
3,22,0.06451034545898438
3,18,0.06564879417419434
3,11,0.061224937438964844
3,10,0.048590898513793945
3,4,0.06312060356140137
3,1,0.059760093688964844
3,14,0.05714273452758789
3,16,0.10955357551574707
3,20,0.06211996078491211
3,13,0.056550025939941406
4,19,0.0635685920715332
4,17,0.0585627555847168
4,3,0.0738680362701416
4,6,0.07333636283874512
4,21,0.06995368003845215
4,7,0.0575559139251709
4,12,0.06216764450073242
4,9,0.055418968200683594
4,8,0.05865311622619629
4,5,0.04957437515258789
4,2,0.06975412368774414
4,15,0.050323486328125
4,22,0.053465843200683594
4,18,0.053856849670410156
4,11,0.0482783317565918
4,10,0.05626177787780762
4,4,0.051218509674072266
4,1,0.05907273292541504
4,14,0.05157041549682617
4,16,0.24171042442321777
4,20,0.05710029602050781
4,13,0.06325960159301758
5,19,0.06574511528015137
5,17,0.06838560104370117
5,3,0.061286211013793945
5,6,0.05532407760620117
5,21,0.06648492813110352
5,7,0.07077860832214355
5,12,0.0578916072845459
5,9,0.05077958106994629
5,8,0.06108212471008301
5,5,0.07944893836975098
5,2,0.10224795341491699
5,15,0.0546112060546875
5,22,0.05858135223388672
5,18,0.059203386306762695
5,11,0.07151579856872559
5,10,0.05953168869018555
5,4,0.05446815490722656
5,1,0.05264091491699219
5,14,0.06458520889282227
5,16,0.055085182189941406
5,20,0.061467885971069336
5,13,0.06252932548522949
6,19,0.061186790466308594
6,17,0.052147626876831055
6,3,0.06348633766174316
6,6,0.0688927173614502
6,21,0.052588462829589844
6,7,0.05661320686340332
6,12,0.05444836616516113
6,9,0.05839896202087402
6,8,0.06526041030883789
6,5,0.055019378662109375
6,2,0.07420516014099121
6,15,0.055938005447387695
6,22,0.05424976348876953
6,18,0.05950522422790527
6,11,0.0733644962310791
6,10,0.06349658966064453
6,4,0.08498334884643555
6,1,0.08268022537231445
6,14,0.05968165397644043
6,16,0.10295939445495605
6,20,0.06876206398010254
6,13,0.05301523208618164
