Run_Number,SQL_File,Run_Time
1,7,1.8993208408355713
2,7,0.5510773658752441
3,7,0.4807605743408203
4,7,0.6395602226257324
5,7,0.49521803855895996
6,7,0.5430409908294678
1,8,2.0212132930755615
2,8,0.5372822284698486
3,8,0.44809412956237793
4,8,0.6884555816650391
5,8,0.5129616260528564
6,8,0.5101752281188965
1,21,2.9554498195648193
2,21,0.434267520904541
3,21,0.6373491287231445
4,21,0.536989688873291
5,21,0.4122195243835449
6,21,0.4330575466156006
1,4,0.9881422519683838
2,4,0.3959686756134033
3,4,0.33588337898254395
4,4,0.458632230758667
5,4,0.476670503616333
6,4,0.8033490180969238
1,3,1.0781843662261963
2,3,0.3518502712249756
3,3,0.5115268230438232
4,3,0.46430349349975586
5,3,0.36443066596984863
6,3,0.42185330390930176
1,15,1.1828477382659912
2,15,0.44655346870422363
3,15,0.4007833003997803
4,15,0.45513224601745605
5,15,0.525357723236084
6,15,0.3949618339538574
1,16,0.5333986282348633
2,16,0.4988410472869873
3,16,0.5964510440826416
4,16,0.48922276496887207
5,16,0.4323756694793701
6,16,0.5403575897216797
1,1,0.7976968288421631
2,1,0.38857030868530273
3,1,0.4115769863128662
4,1,0.4698214530944824
5,1,0.3418862819671631
6,1,0.5864574909210205
1,6,0.6659750938415527
2,6,0.36960387229919434
3,6,0.37772345542907715
4,6,0.3585085868835449
5,6,0.41341471672058105
6,6,0.5261080265045166
1,13,1.3650338649749756
2,13,0.35170626640319824
3,13,0.39960241317749023
4,13,0.36021995544433594
5,13,0.42836451530456543
6,13,0.3762378692626953
1,17,1.7867231369018555
2,17,0.3338589668273926
3,17,0.41759300231933594
4,17,0.3519124984741211
5,17,0.35210585594177246
6,17,0.43516969680786133
1,2,0.46428680419921875
2,2,0.6156604290008545
3,2,0.4010128974914551
4,2,0.48558688163757324
5,2,0.4788203239440918
6,2,0.4684762954711914
1,18,2.7881886959075928
2,18,0.35721659660339355
3,18,0.40903186798095703
4,18,0.4088757038116455
5,18,0.5233054161071777
6,18,0.45090484619140625
1,11,0.5560061931610107
2,11,0.622917652130127
3,11,0.693589448928833
4,11,0.5890100002288818
5,11,0.6242964267730713
6,11,0.5655901432037354
1,14,1.5083732604980469
2,14,0.4669504165649414
3,14,0.6057589054107666
4,14,0.674994945526123
5,14,0.4918708801269531
6,14,0.46243739128112793
1,22,1.9535267353057861
2,22,0.4901125431060791
3,22,0.5370407104492188
4,22,0.4560368061065674
5,22,0.7548103332519531
6,22,0.49433088302612305
1,9,3.9023032188415527
2,9,1.2329885959625244
3,9,0.5687301158905029
4,9,0.6507554054260254
5,9,0.6689713001251221
6,9,0.534686803817749
1,20,1.3537142276763916
2,20,0.5660157203674316
3,20,0.5721824169158936
4,20,0.5785789489746094
5,20,0.6472072601318359
6,20,0.6442923545837402
1,12,1.0664136409759521
2,12,0.44730520248413086
3,12,0.5124630928039551
4,12,0.4522371292114258
5,12,0.48833179473876953
6,12,0.447296142578125
1,5,0.5977933406829834
2,5,0.547713041305542
3,5,0.5152838230133057
4,5,1.0492355823516846
5,5,0.821000337600708
6,5,0.6452476978302002
1,10,1.8975245952606201
2,10,0.4946765899658203
3,10,1.0578739643096924
4,10,0.6361730098724365
5,10,0.5071609020233154
6,10,0.6253528594970703
1,19,0.9171469211578369
2,19,0.8138289451599121
3,19,0.6385672092437744
4,19,0.5354316234588623
5,19,0.5715808868408203
6,19,0.5194377899169922
