Table Name,Loading Time
CUSTOMER,3.941
LINEITEM,6.505
NATION,0.692
ORDERS,12.581
PART,3.813
PARTSUPP,6.573
REGION,0.639
SUPPLIER,0.777
Total Loading Time,35.521
