Table Name,Loading Time
CUSTOMER,5.929
LINEITEM,6.399
NATION,2.338
ORDERS,17.96
PART,4.805
PARTSUPP,9.087
REGION,0.626
SUPPLIER,0.951
Total Loading Time,48.095
