Table Name,Loading Time
CUSTOMER,1.419
LINEITEM,6.68
NATION,0.629
ORDERS,5.118
PART,1.151
PARTSUPP,3.144
REGION,0.651
SUPPLIER,0.798
Total Loading Time,19.59
