User_ID,Run_Number,SQL_File,Run_Time
4,1,12,1.256899118423462
1,1,12,1.3986718654632568
3,1,13,1.9985730648040771
2,1,13,2.0086541175842285
4,1,13,2.0115859508514404
1,1,13,2.6083548069000244
2,1,11,0.8585710525512695
3,1,11,0.9779629707336426
1,1,11,0.9988071918487549
4,1,11,1.176520824432373
1,1,10,1.3991820812225342
2,1,10,1.4067630767822266
3,1,10,1.4217159748077393
4,1,10,1.6264841556549072
3,2,21,0.4173460006713867
1,2,21,0.4387509822845459
2,2,21,0.45934176445007324
4,2,21,1.095660924911499
1,2,20,0.40613794326782227
2,2,20,0.41619300842285156
4,2,20,0.42147397994995117
3,2,20,0.4269108772277832
2,2,22,0.46909070014953613
1,2,22,0.47828197479248047
3,2,22,0.4880409240722656
4,2,22,1.0443239212036133
4,2,18,0.3902270793914795
3,2,18,0.3980410099029541
2,2,18,0.4312400817871094
1,2,18,0.5318589210510254
4,2,19,0.39717888832092285
3,2,19,0.40764594078063965
2,2,19,0.42674684524536133
1,2,19,0.4676079750061035
4,2,4,0.3581981658935547
3,2,4,0.4304502010345459
1,2,4,0.4428679943084717
2,2,4,0.4491860866546631
4,2,5,0.6481969356536865
3,2,5,1.128025770187378
1,2,5,1.1380510330200195
2,2,5,1.1985058784484863
1,2,7,0.42466306686401367
3,2,7,0.4232809543609619
2,2,7,0.44045495986938477
4,2,7,0.4554717540740967
3,2,6,0.4088480472564697
1,2,6,0.43997907638549805
4,2,6,0.43760013580322266
2,2,6,0.4482100009918213
1,2,2,0.49001598358154297
4,2,2,0.5271217823028564
2,2,2,0.5391139984130859
3,2,2,0.6385369300842285
2,2,3,0.40760183334350586
4,2,3,0.41486382484436035
3,2,3,0.4419291019439697
1,2,3,0.49819183349609375
1,2,1,0.3501088619232178
3,2,1,0.3782360553741455
4,2,1,0.37834978103637695
2,2,1,0.3804941177368164
1,2,8,0.5826771259307861
2,2,8,0.5831561088562012
4,2,8,0.5870189666748047
3,2,8,0.5909359455108643
3,2,9,0.5147640705108643
4,2,9,0.5217180252075195
1,2,9,0.5356719493865967
2,2,9,0.5401999950408936
1,2,14,0.40590715408325195
3,2,14,0.4061911106109619
2,2,14,0.40650296211242676
4,2,14,1.1026179790496826
1,2,15,0.35085225105285645
