Run_Number,SQL_File,Run_Time
1,7,4.431310653686523
2,7,0.5359394550323486
3,7,0.7479064464569092
4,7,0.439089298248291
5,7,0.543703556060791
6,7,0.4468882083892822
1,8,2.24819278717041
2,8,0.4720606803894043
3,8,0.4227733612060547
4,8,0.5315852165222168
5,8,0.5353035926818848
6,8,0.49451708793640137
1,21,2.928365707397461
2,21,0.3632197380065918
3,21,0.49446940422058105
4,21,0.40970396995544434
5,21,0.5667340755462646
6,21,0.5421006679534912
1,4,1.0786106586456299
2,4,0.3999035358428955
3,4,0.352489709854126
4,4,0.42728614807128906
5,4,0.38602471351623535
6,4,0.4212186336517334
1,3,2.089262008666992
2,3,0.3980858325958252
3,3,0.34417057037353516
4,3,0.38709235191345215
5,3,0.37032556533813477
6,3,0.37150120735168457
1,15,2.10649037361145
2,15,0.4662010669708252
3,15,1.1050243377685547
4,15,0.44127368927001953
5,15,0.37079668045043945
6,15,0.49022722244262695
1,16,0.37001967430114746
2,16,0.4173717498779297
3,16,0.3645029067993164
4,16,0.385040283203125
5,16,0.42714738845825195
6,16,0.3770270347595215
1,1,1.3163316249847412
2,1,0.33073925971984863
3,1,0.34560656547546387
4,1,0.43826866149902344
5,1,0.3079664707183838
6,1,0.3708207607269287
1,6,0.6891093254089355
2,6,0.3534965515136719
3,6,0.3591945171356201
4,6,0.4188203811645508
5,6,0.4153447151184082
6,6,0.3141632080078125
1,13,3.699214458465576
2,13,0.42851877212524414
3,13,0.42869019508361816
4,13,0.3825390338897705
5,13,0.3281409740447998
6,13,0.42144155502319336
1,17,1.8779776096343994
2,17,0.4292287826538086
3,17,0.3623392581939697
4,17,0.3887314796447754
5,17,0.3938288688659668
6,17,0.37389636039733887
1,2,0.3965113162994385
2,2,0.4589371681213379
3,2,0.4128103256225586
4,2,0.5554876327514648
5,2,0.719928503036499
6,2,0.766775369644165
1,18,3.0568959712982178
2,18,0.4650602340698242
3,18,0.43010497093200684
4,18,0.45998263359069824
5,18,0.3589301109313965
6,18,0.5406429767608643
1,11,0.5888195037841797
2,11,0.6607213020324707
3,11,0.4114079475402832
4,11,0.486513614654541
5,11,0.47644615173339844
6,11,0.4693171977996826
1,14,2.6409151554107666
2,14,0.46116042137145996
3,14,0.3451573848724365
4,14,0.402374267578125
5,14,0.4358046054840088
6,14,0.4074685573577881
1,22,1.9924843311309814
2,22,0.4088871479034424
3,22,0.44138216972351074
4,22,0.4134187698364258
5,22,0.40242934226989746
6,22,0.40604424476623535
1,9,4.637733221054077
2,9,0.4321160316467285
3,9,0.511899471282959
4,9,0.5145583152770996
5,9,0.41840529441833496
6,9,0.5003135204315186
1,20,2.679459571838379
2,20,0.4048159122467041
3,20,0.4635756015777588
4,20,0.46913695335388184
5,20,0.5059525966644287
6,20,0.3520243167877197
1,12,2.188467025756836
2,12,0.3795013427734375
3,12,0.3721129894256592
4,12,0.4315032958984375
5,12,0.42449951171875
6,12,0.40731000900268555
1,5,65.68902516365051
2,5,0.5331630706787109
3,5,0.4897916316986084
4,5,0.5574352741241455
5,5,0.45116305351257324
6,5,0.4647035598754883
1,10,1.6543936729431152
2,10,0.5185136795043945
3,10,0.5094037055969238
4,10,0.43599534034729004
5,10,0.40275096893310547
6,10,0.4654653072357178
1,19,0.5907435417175293
2,19,0.33197617530822754
3,19,0.4633927345275879
4,19,0.38849616050720215
5,19,0.3935577869415283
6,19,0.4030110836029053
