Run Number,file_number,Execution Time (seconds)
1,19,1.4218406677246094
1,17,0.6329429149627686
1,3,0.8495895862579346
1,6,0.07733702659606934
1,21,0.8682537078857422
1,7,0.7216343879699707
1,12,0.30554795265197754
1,9,0.8905954360961914
1,8,0.8504703044891357
1,5,0.43041467666625977
1,2,0.08865618705749512
1,15,0.2805624008178711
1,22,0.2727935314178467
1,18,0.7383975982666016
1,11,0.051572322845458984
1,10,0.9553091526031494
1,4,0.20628881454467773
1,1,0.16599297523498535
1,14,0.1499016284942627
1,16,0.06815934181213379
1,20,0.4093174934387207
1,13,0.6160266399383545
2,19,0.11764645576477051
2,17,0.0693519115447998
2,3,0.057830095291137695
2,6,0.05398297309875488
2,21,0.05567741394042969
2,7,0.12679815292358398
2,12,0.30258893966674805
2,9,0.05589485168457031
2,8,0.09802842140197754
2,5,0.04212379455566406
2,2,0.17333126068115234
2,15,0.045970916748046875
2,22,0.0498661994934082
2,18,0.046106576919555664
2,11,0.04562020301818848
2,10,0.05055046081542969
2,4,0.04789900779724121
2,1,0.05367159843444824
2,14,0.05273938179016113
2,16,0.05428886413574219
2,20,0.045481204986572266
2,13,0.053542137145996094
3,19,0.06619095802307129
3,17,0.05048871040344238
3,3,0.08019828796386719
3,6,0.047986745834350586
3,21,0.060454368591308594
3,7,0.0480656623840332
3,12,0.11705327033996582
3,9,0.06052660942077637
3,8,0.047219276428222656
3,5,0.05796408653259277
3,2,0.060378313064575195
3,15,0.053850412368774414
3,22,0.05152463912963867
3,18,0.053247928619384766
3,11,0.048874616622924805
3,10,0.14679527282714844
3,4,0.05138087272644043
3,1,0.06063342094421387
3,14,0.045775413513183594
3,16,0.059157609939575195
3,20,0.05138802528381348
3,13,0.04890942573547363
4,19,0.05044817924499512
4,17,0.04497528076171875
4,3,0.05082345008850098
4,6,0.04156661033630371
4,21,0.04951071739196777
4,7,0.04787254333496094
4,12,0.04485034942626953
4,9,0.05902910232543945
4,8,0.057541608810424805
4,5,0.04355144500732422
4,2,0.053522586822509766
4,15,0.06289792060852051
4,22,0.07316875457763672
4,18,0.06617331504821777
4,11,0.05655860900878906
4,10,0.05540943145751953
4,4,0.04792284965515137
4,1,0.04307198524475098
4,14,0.0443415641784668
4,16,0.05141854286193848
4,20,0.062044382095336914
4,13,0.05501127243041992
5,19,0.0449070930480957
5,17,0.044011831283569336
5,3,0.11023855209350586
5,6,0.11012673377990723
5,21,0.05469155311584473
5,7,0.04906940460205078
5,12,0.056845903396606445
5,9,0.05806684494018555
5,8,0.048299312591552734
5,5,0.04728865623474121
5,2,0.13273096084594727
5,15,0.055335044860839844
5,22,0.04705500602722168
5,18,0.05023789405822754
5,11,0.05236196517944336
5,10,0.061109304428100586
5,4,0.05267047882080078
5,1,0.049361228942871094
5,14,0.04232311248779297
5,16,0.05705595016479492
5,20,0.04965043067932129
5,13,0.04584360122680664
6,19,0.05614471435546875
6,17,0.07245111465454102
6,3,0.051909685134887695
6,6,0.04684734344482422
6,21,0.04478168487548828
6,7,0.042063236236572266
6,12,0.04183554649353027
6,9,0.05220317840576172
6,8,0.043053388595581055
6,5,0.04553675651550293
6,2,0.06269359588623047
6,15,0.04327106475830078
6,22,0.05650782585144043
6,18,0.06444835662841797
6,11,0.049654483795166016
6,10,0.04672503471374512
6,4,0.04979252815246582
6,1,0.05018329620361328
6,14,0.04940629005432129
6,16,0.05206489562988281
6,20,0.05374932289123535
6,13,0.04323124885559082
