Run_Number,SQL_File,Run_Time
1,21,0.6209981441497803
2,21,0.4477059841156006
3,21,0.5110368728637695
4,21,0.43697309494018555
5,21,0.6015009880065918
6,21,0.44794797897338867
1,20,0.5584530830383301
2,20,0.6206398010253906
3,20,0.659264087677002
4,20,0.8011460304260254
5,20,0.49639105796813965
6,20,0.4980049133300781
1,22,0.5404050350189209
2,22,0.5508108139038086
3,22,0.4413638114929199
4,22,0.49576330184936523
5,22,0.3990781307220459
6,22,0.9605951309204102
1,18,0.7952942848205566
2,18,0.4938929080963135
3,18,0.6090519428253174
4,18,0.5269250869750977
5,18,0.7766010761260986
6,18,0.515204906463623
1,19,0.4803779125213623
2,19,0.5067591667175293
3,19,0.5802040100097656
4,19,0.4540519714355469
5,19,0.5052931308746338
6,19,0.509685754776001
1,4,0.516085147857666
2,4,0.5239338874816895
3,4,0.3908219337463379
4,4,0.396726131439209
5,4,0.666813850402832
6,4,0.5521149635314941
1,5,0.5196516513824463
2,5,0.6472470760345459
3,5,0.6911208629608154
4,5,0.6888132095336914
5,5,0.5300040245056152
6,5,0.49933600425720215
1,7,0.5668859481811523
2,7,0.5902566909790039
3,7,0.698936939239502
4,7,0.5192489624023438
5,7,0.4392702579498291
6,7,0.5703079700469971
1,6,0.5277111530303955
2,6,0.5380160808563232
3,6,0.4198012351989746
4,6,0.4281651973724365
5,6,0.6004459857940674
6,6,0.44872021675109863
1,2,0.5590639114379883
2,2,0.4195220470428467
3,2,0.5645351409912109
4,2,0.5232257843017578
5,2,0.9993793964385986
6,2,0.4108400344848633
1,3,0.46756505966186523
2,3,0.4072997570037842
3,3,0.430462121963501
4,3,0.3903059959411621
5,3,0.4411592483520508
6,3,0.37586116790771484
1,1,0.7516610622406006
2,1,0.4150888919830322
3,1,0.85052490234375
4,1,0.48451900482177734
5,1,0.5927801132202148
6,1,0.4202768802642822
1,8,0.5596539974212646
2,8,0.5783791542053223
3,8,0.5891728401184082
4,8,0.6176588535308838
5,8,0.4208972454071045
6,8,0.5278327465057373
1,9,0.5582888126373291
2,9,0.6642351150512695
3,9,0.9812569618225098
4,9,0.6320068836212158
5,9,0.5271320343017578
6,9,0.6238400936126709
1,14,0.4872620105743408
2,14,0.5509529113769531
3,14,0.8254740238189697
4,14,1.1888251304626465
5,14,0.5978477001190186
6,14,0.41288018226623535
1,15,0.517132043838501
2,15,0.544456958770752
3,15,0.43437719345092773
4,15,0.48444294929504395
5,15,0.43561387062072754
6,15,0.44635701179504395
1,17,0.4073972702026367
2,17,0.369401216506958
3,17,0.5496490001678467
4,17,0.4198153018951416
5,17,0.6099469661712646
6,17,0.3980090618133545
1,16,0.7116589546203613
2,16,1.1245090961456299
3,16,0.5021481513977051
4,16,0.514868974685669
5,16,0.40401697158813477
6,16,0.528796911239624
1,12,0.5388767719268799
2,12,0.4990251064300537
3,12,0.5189459323883057
4,12,0.6279959678649902
5,12,0.7737679481506348
6,12,1.054746150970459
1,13,0.7300751209259033
2,13,3.173896074295044
3,13,2.3804421424865723
4,13,0.43158411979675293
5,13,1.2120158672332764
6,13,0.8497660160064697
1,11,2.8105716705322266
2,11,0.7512362003326416
3,11,0.5320267677307129
4,11,1.1765179634094238
5,11,0.7573850154876709
6,11,0.7468409538269043
1,10,1.502577304840088
2,10,1.3317959308624268
3,10,1.2371761798858643
4,10,2.3390562534332275
5,10,3.0867860317230225
6,10,1.6325628757476807
