User_ID,Run_Number,SQL_File,Run_Time
4,1,21,2.854745864868164
2,1,21,3.1373038291931152
3,1,21,3.3061020374298096
1,1,21,3.648465156555176
4,1,20,2.1055290699005127
3,1,20,2.1833229064941406
2,1,20,2.5764758586883545
1,1,20,2.6024768352508545
3,1,22,1.1817119121551514
1,1,22,1.2620699405670166
4,1,22,1.2692880630493164
2,1,22,1.3814060688018799
3,1,18,2.563215970993042
4,1,18,2.8348770141601562
2,1,18,2.9640588760375977
1,1,18,2.9677929878234863
3,1,19,0.8116400241851807
4,1,19,0.809669017791748
1,1,19,0.8192141056060791
2,1,19,0.8294317722320557
3,1,4,0.9393472671508789
1,1,4,0.9997348785400391
2,1,4,0.9999270439147949
4,1,4,1.0981287956237793
2,1,5,0.7709019184112549
1,1,5,0.7987570762634277
3,1,5,0.7972719669342041
4,1,5,0.8669600486755371
4,1,7,2.592639207839966
2,1,7,2.768890857696533
1,1,7,3.069632053375244
3,1,7,3.360844850540161
1,1,6,0.6334390640258789
4,1,6,0.6516799926757812
2,1,6,0.6832261085510254
3,1,6,0.7024459838867188
1,1,2,1.3316760063171387
2,1,2,1.3622360229492188
3,1,2,1.4792749881744385
4,1,2,2.0269200801849365
4,1,3,1.6222949028015137
1,1,3,1.790024995803833
2,1,3,1.9099969863891602
3,1,3,2.072777271270752
2,1,1,1.8749868869781494
1,1,1,1.8831672668457031
4,1,1,2.0491220951080322
3,1,1,2.052341938018799
2,1,8,1.6759989261627197
1,1,8,1.6967508792877197
3,1,8,1.990347146987915
4,1,8,2.3783092498779297
1,1,9,3.180948257446289
3,1,9,3.376343011856079
4,1,9,3.8865368366241455
2,1,9,4.3312602043151855
1,1,14,1.8143961429595947
4,1,14,1.8310461044311523
2,1,14,2.0644989013671875
3,1,14,2.3293960094451904
2,1,15,1.4426660537719727
3,1,15,1.5311102867126465
1,1,15,1.8650639057159424
4,1,15,2.0336146354675293
1,1,17,1.1699562072753906
3,1,17,1.4158408641815186
2,1,17,1.6887497901916504
4,1,17,1.7000219821929932
2,1,16,0.7899959087371826
1,1,16,0.7992582321166992
3,1,16,0.9195458889007568
4,1,16,1.0796689987182617
2,1,12,1.0482840538024902
3,1,12,1.6257281303405762
1,1,12,1.637260913848877
4,1,12,1.8944978713989258
3,1,13,2.0883188247680664
2,1,13,2.1711490154266357
1,1,13,2.189094066619873
4,1,13,2.412724018096924
3,1,11,1.1199970245361328
1,1,11,1.1704902648925781
2,1,11,1.200028896331787
4,1,11,1.2277071475982666
4,1,10,1.5124330520629883
1,1,10,1.5403220653533936
2,1,10,1.5408458709716797
3,1,10,1.5773658752441406
1,2,21,0.39932894706726074
3,2,21,0.47760891914367676
2,2,21,0.5975668430328369
4,2,21,0.6955311298370361
3,2,20,0.35754895210266113
2,2,20,0.37789225578308105
4,2,20,0.38428306579589844
1,2,20,0.409102201461792
4,2,22,0.3356630802154541
1,2,22,0.49849605560302734
3,2,22,0.5192160606384277
2,2,22,0.5201947689056396
2,2,18,0.37699413299560547
3,2,18,0.3958621025085449
1,2,18,0.39803171157836914
4,2,18,0.4868810176849365
4,2,19,0.3646399974822998
2,2,19,0.37476587295532227
1,2,19,0.38823604583740234
3,2,19,0.3876967430114746
2,2,4,0.3367166519165039
1,2,4,0.44820094108581543
4,2,4,0.4469161033630371
3,2,4,0.4736478328704834
3,2,5,0.6194040775299072
2,2,5,0.6305108070373535
1,2,5,0.6307511329650879
4,2,5,0.6420700550079346
4,2,7,0.49844908714294434
3,2,7,0.5001862049102783
2,2,7,0.5051689147949219
1,2,7,0.5560648441314697
3,2,6,0.3790428638458252
1,2,6,0.4471161365509033
4,2,6,0.45597100257873535
2,2,6,0.46744489669799805
3,2,2,0.3879997730255127
2,2,2,0.38979506492614746
1,2,2,0.45009684562683105
4,2,2,0.5780279636383057
2,2,3,0.3788630962371826
3,2,3,0.37862491607666016
4,2,3,0.3840179443359375
1,2,3,0.4282412528991699
2,2,1,0.41185522079467773
1,2,1,0.41242170333862305
3,2,1,0.43681883811950684
4,2,1,0.4352879524230957
4,2,8,0.4909639358520508
2,2,8,0.4921109676361084
3,2,8,0.49228978157043457
1,2,8,0.6112060546875
2,2,9,0.4517860412597656
1,2,9,0.4675440788269043
4,2,9,0.4848947525024414
3,2,9,0.49649596214294434
4,2,14,0.4880950450897217
1,2,14,0.4991579055786133
2,2,14,0.5077929496765137
3,2,14,0.5478510856628418
1,2,15,0.3398559093475342
2,2,15,0.3695499897003174
3,2,15,0.3713490962982178
4,2,15,1.1969738006591797
2,2,17,0.365541934967041
3,2,17,0.41068506240844727
1,2,17,0.4503591060638428
4,2,17,0.5033910274505615
4,2,16,0.3925819396972656
3,2,16,0.40149998664855957
1,2,16,0.41805195808410645
2,2,16,0.43335795402526855
3,2,12,0.3192472457885742
2,2,12,0.38010597229003906
4,2,12,0.37941789627075195
1,2,12,0.4293351173400879
2,2,13,0.38930392265319824
4,2,13,0.4162733554840088
1,2,13,0.42859816551208496
3,2,13,0.4680638313293457
4,2,11,0.4353463649749756
1,2,11,0.4383268356323242
3,2,11,0.6066770553588867
2,2,11,0.6430587768554688
1,2,10,0.46384596824645996
4,2,10,0.4706301689147949
3,2,10,0.47479820251464844
