Dataset,Loading Time
CUSTOMER,8.128
LINEITEM,25.269
NATION,3.798
ORDERS,12.208
PART,7.898
PARTSUPP,12.095
REGION,3.709
SUPPLIER,3.679
Total Loading Time,77.189
