Dataset,Loading Time
CUSTOMER,10.176
LINEITEM,17.263
NATION,3.666
ORDERS,17.241
PART,10.073
PARTSUPP,12.161
REGION,3.664
SUPPLIER,3.721
Total Loading Time,78.368
