Dataset,Loading Time
CUSTOMER,4.824
LINEITEM,17.384
NATION,3.707
ORDERS,17.383
PART,4.819
PARTSUPP,8.969
REGION,3.746
SUPPLIER,3.585
Total Loading Time,64.816
