Run Number,file_number,Execution Time (seconds)
1,19,1.2543952465057373
1,17,0.6342062950134277
1,3,0.9329864978790283
1,6,0.10157489776611328
1,21,2.322584867477417
1,7,0.8439369201660156
1,12,0.2761809825897217
1,9,1.214184284210205
1,8,0.9425246715545654
1,5,0.7645339965820312
1,2,0.48984527587890625
1,15,0.2290935516357422
1,22,0.27142882347106934
1,18,0.5718715190887451
1,11,0.292022705078125
1,10,0.54953932762146
1,4,0.21839284896850586
1,1,0.18713045120239258
1,14,0.15554261207580566
1,16,0.4341878890991211
1,20,0.35549497604370117
1,13,0.41323065757751465
2,19,0.10438895225524902
2,17,0.04976940155029297
2,3,0.05025291442871094
2,6,0.04571199417114258
2,21,0.061760902404785156
2,7,0.09728765487670898
2,12,0.03973817825317383
2,9,0.06727719306945801
2,8,0.07435154914855957
2,5,0.05964159965515137
2,2,0.06100583076477051
2,15,0.045412302017211914
2,22,0.05003762245178223
2,18,0.048485517501831055
2,11,0.047647953033447266
2,10,0.04497933387756348
2,4,0.0969991683959961
2,1,0.04999494552612305
2,14,0.08170485496520996
2,16,0.053640127182006836
2,20,0.04150867462158203
2,13,0.055531978607177734
3,19,0.044512033462524414
3,17,0.04393649101257324
3,3,0.04181337356567383
3,6,0.12613368034362793
3,21,0.04940032958984375
3,7,0.0531613826751709
3,12,0.04136943817138672
3,9,0.042079925537109375
3,8,0.1228938102722168
3,5,0.03931999206542969
3,2,0.06669306755065918
3,15,0.044689178466796875
3,22,0.056554555892944336
3,18,0.03834342956542969
3,11,0.03937411308288574
3,10,0.05211997032165527
3,4,0.05914878845214844
3,1,0.08074331283569336
3,14,0.07667899131774902
3,16,0.05084109306335449
3,20,0.18248701095581055
3,13,0.05102658271789551
4,19,0.04921269416809082
4,17,0.04467129707336426
4,3,0.05996584892272949
4,6,0.07213711738586426
4,21,0.09231781959533691
4,7,0.04723715782165527
4,12,0.052902936935424805
4,9,0.11170244216918945
4,8,0.04611349105834961
4,5,0.04421710968017578
4,2,0.06837582588195801
4,15,0.04309582710266113
4,22,0.10887789726257324
4,18,0.04103279113769531
4,11,0.12009215354919434
4,10,0.05293130874633789
4,4,0.0392303466796875
4,1,0.039266109466552734
4,14,0.03990960121154785
4,16,0.18086886405944824
4,20,0.0437314510345459
4,13,0.0430912971496582
5,19,0.04405093193054199
5,17,0.045061588287353516
5,3,0.048836708068847656
5,6,0.05065512657165527
5,21,0.04532742500305176
5,7,0.04378986358642578
5,12,0.03869152069091797
5,9,0.05599617958068848
5,8,0.061734914779663086
5,5,0.045371055603027344
5,2,0.07245278358459473
5,15,0.10677337646484375
5,22,0.09971833229064941
5,18,0.11386537551879883
5,11,0.04212307929992676
5,10,0.041992902755737305
5,4,0.05272197723388672
5,1,0.04527544975280762
5,14,0.04709172248840332
5,16,0.049071550369262695
5,20,0.04522585868835449
5,13,0.052870750427246094
6,19,0.09282565116882324
6,17,0.04573559761047363
6,3,0.04056668281555176
6,6,0.12970924377441406
6,21,0.043326616287231445
6,7,0.0490727424621582
6,12,0.09267926216125488
6,9,0.05296611785888672
6,8,0.06409072875976562
6,5,0.04870963096618652
6,2,0.049210548400878906
6,15,0.06614303588867188
6,22,0.0422210693359375
6,18,0.04787588119506836
6,11,0.0396425724029541
6,10,0.046085357666015625
6,4,0.03931999206542969
6,1,0.04522228240966797
6,14,0.07265615463256836
6,16,0.04607248306274414
6,20,0.04439282417297363
6,13,0.04408979415893555
